org_name,org_ID
Accounting,8b9df681
Aerospace Engineering,e5c84f0a
Agriculture Leadership Education and Communication,2d953da5
Animal Science,2735b399
Anthropology,26ddd99c
Architecture,3c372a44
Atmospheric Sciences,2833755e
Biochemistry and Biophysics,f4046369
Biological and Agricultural Engineering,2884689f
Biology,533de40b
Biomedical Engineering,7518c091
Chemistry,3d066602
Civil Engineering,a96ec482
Computer Science,ac3e839c
Construction Science,52bbb58c
Department of Communication,9b0ead26
Economics,f55b14ad
Ecosystem Science and Management,2872677a
Educational Administration and Human Resource Development,8153433f
Educational Psychology,364e823b
Electrical and Computer Engineering,2d633240
Engineering Technology and Industrial Distribution,7048878f
English,91770559
Entomology,2d222064
Finance,ea8f9be9
Geography,a6291061
Geology and Geophysics,4c1f64aa
Health and Kinesiology,ef68c136
History,4d01014a
Horticultural Science,224add21
Industrial and Systems Engineering,90de7d78
Information and Operations Management,fb02a5ae
Large Animal Clinical Sciences,4f9163cf
Management,390956d8
Marketing,8e1497dc
Mathematics,377fce7d
Mechanical Engineering,1ec41847
Nuclear Engineering,c2b21c54
Oceanography,94905f86
Petroleum Engineering,1b945f59
Philosophy and Humanities,f1153653
Physics and Astronomy,59444c74
Political Science,9e87cc7b
Psychology,f5352f2f
"""Recreation, Parks, and Tourism Science""",e0412e57
Small Animal Clinical Sciences,f22c2cf7
Sociology,9e5eea38
Statistics,ee598d70
Teaching Learning and Culture,58750032
Veterinary Integrative Biosciences,21aae1c6
Veterinary Pathobiology,329894a2
Veterinary Physiology and Pharmacology,38381a9e